main_name|subtitle|link|location|price|attributes|id|address|lat|lon|since
Excelente Oficina En Renta En Colonia Roma, Cerca De Metrobu|Oficina en renta|https://inmueble.metroscubicos.com/MLM-1353707650-excelente-oficina-en-renta-en-colonia-roma-cerca-de-metrobu-_JM#position=2&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Gunajuato 224, Roma Norte, Cuauhtémoc, Distrito Federal|30000 pesos|125 m² construidos|50|Gunajuato 224|19.39068|-99.2836995|
4855 Zacatecas 3|Departamento en venta|https://departamento.metroscubicos.com/MLM-1317100563-4855-zacatecas-3-_JM#position=3&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Zacatecas, Roma Norte, Cuauhtémoc, Distrito Federal|4750000 pesos|70 m² construidos,1 rec.|51|Zacatecas|19.39068|-99.2836995|
Roma Norte Venta De Hermosa Casa Con Acabados De Lujo.|Casa en venta|https://casa.metroscubicos.com/MLM-1362501123-roma-norte-venta-de-hermosa-casa-con-acabados-de-lujo-_JM#position=4&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Cozumel Sn, Roma Norte, Cuauhtémoc, Distrito Federal|11599000 pesos|169 m² construidos,3 recs.|52|Cozumel Sn|19.39068|-99.2836995|Publicado hace 41 días
Roma. Venta Edificio. Uso Suelo Mixto. Trato Directo|Edificio en venta|https://inmueble.metroscubicos.com/MLM-1359190019-roma-venta-edificio-uso-suelo-mixto-trato-directo-_JM#position=5&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Tonala 121, Roma Norte, Cuauhtémoc, Distrito Federal|110000000 pesos|4,200 m² construidos|53|Tonala 121|19.39068|-99.2836995|Publicado hace 2 años
Renta Departamento Amueblado Roma Norte , Super Ubicacion |Departamento en renta|https://departamento.metroscubicos.com/MLM-1372354627-renta-departamento-amueblado-roma-norte-super-ubicacion-_JM#position=6&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Colima 326, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal|26000 pesos|95 m² construidos,2 recs.|54|Colima 326, Roma Norte, Ciudad De México, Cdmx, México|19.39068|-99.2836995|Publicado hace 43 días
Depa En La Roma Norte Acepto Creditos|Departamento en venta|https://departamento.metroscubicos.com/MLM-1365056582-depa-en-la-roma-norte-acepto-creditos-_JM#position=7&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Zacatecas 0, Roma Norte, Cuauhtémoc, Distrito Federal|4500000 pesos|93 m² construidos,3 recs.|55|Zacatecas 0|19.39068|-99.2836995|Publicado hace 11 meses
Oficina Amueblada Roma-condesa 5,000.00 Por Mes|Oficina en renta|https://inmueble.metroscubicos.com/MLM-1370009562-oficina-amueblada-roma-condesa-500000-por-mes-_JM#position=8&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Medellin 107, Roma Norte, Cuauhtémoc, Distrito Federal|5000 pesos|12 m² construidos|56|Medellin 107|19.39068|-99.2836995|Publicado hace 1 año
Departamento Nuevo En Venta - Roma Norte|Departamento en venta|https://departamento.metroscubicos.com/MLM-1371045482-departamento-nuevo-en-venta-roma-norte-_JM#position=9&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Coahuila 10, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal|6870431 pesos|95 m² construidos,3 recs.|57|Coahuila 10, Roma Norte, Ciudad De México, Cdmx, México|19.39068|-99.2836995|Publicado hace 18 días
Plaza Río De Janeiro En Venta Departamento Remodelado|Departamento en venta|https://departamento.metroscubicos.com/MLM-1360437554-plaza-rio-de-janeiro-en-venta-departamento-remodelado-_JM#position=10&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Plaza Río De Janeiro 53, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal|13500000 pesos|208 m² construidos,3 recs.|58|Plaza Río De Janeiro 53, Roma Norte, Ciudad De México, Cdmx, México|19.39068|-99.2836995|Publicado hace 48 días
Departamento Nuevo En Venta - Roma Norte|Departamento en venta|https://departamento.metroscubicos.com/MLM-1371039581-departamento-nuevo-en-venta-roma-norte-_JM#position=11&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Coahuila 10, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal|7276231 pesos|95 m² construidos,3 recs.|59|Coahuila 10, Roma Norte, Ciudad De México, Cdmx, México|19.39068|-99.2836995|Publicado hace 18 días
