price_type,lat,lon,years,CVEGEO,new_id,num_comercios_imp,is_consultorio_imp,is_recreativo_imp,is_retail_imp,is_escuela_imp,Baños_imp,Recámaras_imp,precio_m2_final,nearest_50_pct_price,nearest_75_pct_price,nearest_25_pct_price,nearest_std_price,distance_parque,distance_fuente,ageb_precio_m2_25_pct,ageb_precio_m2_50_pct,ageb_precio_m2_75_pct
venta,19.4195256,-99.162549,0.0,0901500011002,472,317.0,17.0,59.0,71.0,15.0,1.0,1.0,104014.8108108108,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,1.0,0901500011002,475,317.0,17.0,59.0,71.0,15.0,1.0,1.0,104015.72972972972,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,476,317.0,17.0,59.0,71.0,15.0,2.0,3.0,57891.89189189189,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,477,317.0,17.0,59.0,71.0,15.0,2.0,1.0,63850.74626865672,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4239626,-99.1609669,8.0,0901500011002,483,352.0,11.0,56.0,67.0,12.0,2.0,2.0,23976.470588235294,20392.156862745094,23838.67478025693,20243.67028364744,3109.3072754316418,1565.0730538793944,648.7593004336951,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,485,317.0,17.0,59.0,71.0,15.0,1.0,1.0,66065.5737704918,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4239626,-99.1609669,0.0,0901500011002,486,352.0,11.0,56.0,67.0,12.0,2.0,2.0,23976.470588235294,20392.156862745094,23838.67478025693,20243.67028364744,3109.3072754316418,1565.0730538793944,648.7593004336951,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,487,317.0,17.0,59.0,71.0,15.0,4.0,3.0,58148.14814814815,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,489,317.0,17.0,59.0,71.0,15.0,1.0,1.0,63859.649122807015,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,1.0,0901500011002,490,317.0,17.0,59.0,71.0,15.0,1.0,1.0,79048.55319148937,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
