main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito
Departamento En Venta En Cuauhtemoc Roma Norte 22169rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1357,depto,venta,4.0,19.4195256,-99.162549,3.0,1.0,2.0,122.0,122.0,0.0,8400000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
"Exterior Con Buena Iluminación, En La Roma","Tlacotalpan 0, Roma Norte, Cuauhtémoc, Distrito Federal",1359,depto,renta,8.0,19.4195256,-99.162549,2.0,,3.0,140.0,140.0,40.0,20000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte En Calle Zacatecas 211895,"Roma Norte, Cuauhtémoc, Distrito Federal",1361,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,0.0,3950000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
"Icon Roma Departamentos A Una Cuadra De Glorieta De Los Insurgentes Y Universidad De Las Americas, Puedes Unir Espacios Si Lo Deseas Comprando 2 O Más","Insurgentes Sur 179, Roma Norte, Cuauhtémoc, Distrito Federal",1366,depto,venta,3.0,19.419525,-99.162549,1.0,,1.0,39.0,39.0,0.0,3000000.0,metros_cubicos,POINT (-99.162549 19.419525),12699,0901500011002,09,015,0001,1002,Urbana
"Departamento En Venta En Avenida Chapultepec,roma Norte. Ru 22-3111 ","Roma Norte, Cuauhtémoc, Distrito Federal",1382,depto,venta,32.0,19.4195256,-99.162549,2.0,1.0,1.0,61.0,61.0,-1.0,4430004.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta Roma Norte,"Snn, Roma Norte, Cuauhtémoc, Distrito Federal",1383,depto,venta,32.0,19.419526,-99.162549,4.0,,3.0,0.0,284.0,0.0,14700000.0,metros_cubicos,POINT (-99.162549 19.419526),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte  Ff  22 - 3111 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",1385,depto,venta,32.0,19.4195256,-99.162549,2.0,1.0,1.0,61.0,61.0,-1.0,4430018.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Lindo Departamento En Venta. San Luis De Potosi . Mls 22-944,"Roma Norte, Cuauhtémoc, Distrito Federal",1396,depto,venta,28.0,19.4195256,-99.162549,2.0,1.0,2.0,110.0,110.0,1.0,7962400.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte  Ff  22 - 3107 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",1399,depto,venta,32.0,19.4195256,-99.162549,2.0,1.0,2.0,86.0,86.0,-1.0,4913518.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte  Ff  21 - 1712 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",1419,depto,venta,4.0,19.4195256,-99.162549,3.0,2.0,2.0,194.0,194.0,1.0,9350018.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
