id,price,name,lat,lon,Baños,Recámaras,terreno
241,7500000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 3 recámaras, ID: 36895",19.41308,-99.16345,2.0,3,179.0
244,7597110,"Departamento en Venta, Roma Norte , Coahuila (602)",19.41783,-99.15438,2.0,2,
245,4134720,"Departamento en Venta, Roma Norte, Coahuila (303)",19.41783,-99.15438,2.0,2,
248,728614,HERMOSO DEPTO EN CUAUHTEMOC REMATE BANCARIO,19.4204,-99.17452,3.0,3,180.0
249,6853000,Departamento en venta con terraza o jardín Coahuila Roma Norte Cuauhtémoc Cdmx,19.41247,-99.15622,2.0,2,
250,7390000,"15016 Puebla, Roma Norte",19.42138,-99.16901,2.0,2,107.0
251,5625000,"15029 Puebla, Roma Norte",19.42138,-99.16901,2.0,2,74.0
252,13500000,"15012 Plaza Río de Janeiro, Roma Norte",19.42119,-99.16115,2.0,3,208.0
253,6214800,"14005 Frontera, Roma Norte",19.418,-99.15571,2.0,2,103.0
254,8500000,"14483 Calle Salamanca, Roma Norte",19.41987,-99.1695,2.0,2,89.0
255,6795000,"14148 Tonalá, Roma Norte",19.41304,-99.1615,1.0,1,116.0
256,8398000,"14657 Zacatecas, Roma Norte",19.41589,-99.1594,2.0,2,161.0
257,10513880,"14758 Zacatecas, Roma Norte",19.41555,-99.16159,2.0,3,202.0
258,8165300,"14145 Querétaro, Roma Norte",19.4149,-99.16088,2.0,3,114.0
259,5800000,"14134 - Querétaro, Roma Norte",19.41534,-99.15821,2.0,2,77.0
260,6500000,"14323 Valladolid, Roma Norte",19.42028,-99.168,2.0,3,109.0
261,5800000,"14345 Calle Querétaro, Roma Norte",19.41501,-99.15989,2.0,2,79.0
262,4980000,"13944 Frontera, Roma Norte",19.418,-99.15571,2.0,2,83.0
263,5395000,"12786 - Frontera, Roma norte",19.418,-99.15561,2.0,2,80.0
264,5400000,"D1279 - Guanajuato, Roma Norte",19.41612,-99.16159,2.0,2,83.0
265,5700000,"12645 Av. Chapultepec, Roma Norte",19.42455,-99.15833,2.0,2,68.0
266,5200000,"12480 Colima, Roma Norte",19.41943,-99.16253,2.0,2,90.0
267,9590000,"12145 Guanajuato, Roma Norte",19.41637,-99.16095,2.0,2,122.0
270,9350000,"12146 Guanajuato, Roma Norte",19.41637,-99.16095,2.0,2,117.0
271,5514000,"12157 Av. Insurgentes Sur, Roma Norte",19.42186,-99.16364,1.0,1,63.0
272,5180000,"12223 Tabasco, Roma Norte",19.41764,-99.16664,2.0,2,102.0
273,5200000,"12056 Av. Cuauhtémoc, Roma Norte",19.41713,-99.15454,2.0,2,117.0
274,9300000,"12151 San Luis Potosí, Roma Norte",19.41458,-99.15668,3.0,2,125.0
275,3950000,"11402 Frontera, Roma Norte",19.41704,-99.15546,1.0,1,33.0
276,6500000,"11201 Querétaro, Roma Norte",19.416,-99.15497,2.0,3,177.0
277,6500000,"10860 Córdoba, Roma Norte",19.4205,-99.15878,2.0,2,128.0
278,5985000,"10876 Puebla, Roma Norte",19.4204,-99.17167,2.0,2,113.0
279,5200000,"10775 Eje 2A Sur, Roma Norte",19.41375,-99.1609,2.0,2,90.0
280,4850000,"10482 Morelia, Roma Norte",19.4228,-99.15614,2.0,3,91.0
281,6900000,"10405 Colima, Roma Norte",19.4179,-99.17007,2.0,3,110.0
282,14700000,"10255 Zacatecas, Roma Norte",19.41591,-99.15765,3.0,3,284.0
283,4400000,"9971 Frontera, Roma Norte",19.4226,-99.15661,2.0,2,93.0
284,5950000,"9834 Puebla, Roma Norte",19.42412,-99.15535,2.0,3,93.0
285,3848548,"D1075 - Durango, Roma Norte",19.42008,-99.16704,1.0,1,37.0
286,8500000,"9708 Cordoba, Roma Norte",19.42214,-99.15908,2.0,2,140.0
287,5956000,"9577 Puebla, Roma Norte",19.4224,-99.16488,2.0,3,93.0
288,7600000,"9684 Jalapa, Roma Norte",19.41453,-99.16038,2.0,3,114.0
289,2752944,"D1030 - Av. Chapultepec, Roma Norte",19.42194,-99.16916,1.0,1,29.0
292,4750000,"8011 Coahuila, Roma Sur",19.41127,-99.16336,2.0,2,87.0
293,7600000,"7991 Av. Querétaro, Roma Norte",19.41464,-99.16047,2.0,3,114.0
294,4296669,"D977 - San Luis Potosí, Roma Norte",19.41375,-99.161,1.0,1,53.0
295,9789570,"D971 - Guanajuato, Roma Norte",19.41596,-99.1632,3.0,3,143.0
296,3500000,"6559 Chihuahua, Roma Norte",19.41858,-99.15489,1.0,2,65.0
297,4000000,"6377 Av. Chapultepec, Roma Norte",19.42454,-99.15832,2.0,2,65.0
298,13400000,"5605 Zacatecas, Roma Norte",19.41555,-99.16159,3.0,3,184.0
299,3200000,"5602 Cordoba, Roma Norte",19.4128,-99.15726,1.0,1,50.0
300,5700000,"5275 Colima, Roma Norte",19.41929,-99.16358,2.0,2,90.0
301,9300000,"5423 San Luis Potosí, Roma Norte",19.41459,-99.15666,3.0,3,125.0
302,10100000,"5408 Colima, Roma Norte",19.42107,-99.15579,2.0,3,162.0
303,6100000,"3989 Guanajuato, Roma Norte",19.416,-99.16376,2.0,2,90.0
304,4495000,"5049 Córdoba, Roma Norte",19.41476,-99.15782,2.0,3,86.0
305,4750000,4855 Zacatecas 3,19.41704,-99.15462,2.0,1,70.0
306,4290000,"4677 - Álvaro Obregón, Roma Norte",19.41785,-99.16021,1.0,2,90.0
307,9000000,"4064 Tabasco, Roma Norte",19.41807,-99.16533,2.0,2,110.0
308,4875000,"3929 Puebla, Roma Norte",19.42185,-99.16588,1.0,2,110.0
309,6700000,"3623 Yucatán, Roma Norte",19.41453,-99.16394,2.0,3,115.0
310,6820000,"D649 - Sinaloa, Roma Norte",19.42011,-99.17019,2.0,2,103.0
314,7000000,"3541 Av. Chapultepec, Roma Norte",19.42345,-99.16191,2.0,3,213.0
315,8200000,"3471 Frontera, Roma Norte",19.42453,-99.15737,2.0,2,129.0
316,4500000,"3386 Av. Chapultepec, Roma Norte",19.42398,-99.16097,2.0,2,89.0
317,4690000,"3320 Coahuila, Roma Norte",19.41093,-99.16546,1.0,1,70.0
318,2550000,"3229 Av. Insurgentes Sur, Roma Norte",19.42011,-99.16375,1.0,1,47.0
319,8900000,"3260 Colima, Roma Norte",19.41742,-99.17195,2.0,3,245.0
320,5654405,"D537 - Córdoba, Roma Norte",19.41266,-99.15713,1.0,1,58.0
321,4592835,"D543 - Coahuila, Roma Norte",19.41092,-99.16518,2.0,2,74.0
322,7900000,"2949 - Coahuila, Roma Norte",19.41266,-99.15781,2.0,2,168.0
350,5400000,DEPARTAMENTO EN ROMA NORTE CERCA REFORMA,19.42122,-99.17272,2.0,3,
351,4490000,"Departamento en venta en Cuauhtémoc, CDMX",19.4228,-99.15614,2.0,3,
361,1470000,REMATO DEPTO EN LA COL ROMA CUAUHTEMOC,19.41821,-99.15546,1.0,2,70.0
362,3147772,"Departamento en Córdoba, Roma Norte Cuauhtémoc",19.4128,-99.15726,1.0,1,
365,8200000,"Excelente Depa en Venta en Acapulco, Roma Norte",19.41896,-99.17377,2.0,2,130.0
386,2890000,DEPARTAMENTO ICON ROMA,19.41952,-99.16254,1.0,1,
387,3304550,ÚNICO ROMA,19.41952,-99.16254,1.0,1,
388,8250000,BLENDHAUS - Anuncio publicado por NEW GENERATION OF REAL ESTATE,19.41952,-99.16254,2.0,2,
391,2990000,DEPARTAMENTO 2 RECAMARAS EN VENTA,19.42201,-99.16702,2.0,2,
392,3950000,DEPARTAMENTO 3 RECAMARAS EN VENTA,19.42186,-99.16879,2.0,3,
394,4495000,VENTA DE DEPARTAMENTO EN LA COL ROMA NORTE CUAUHTEMOC CDMX,19.41479,-99.15771,2.0,3,86.0
396,3595000,DEPARTAMENTO EN VENTA CALLE FRONTERA ROMA NORTE,19.41843,-99.15581,1.0,1,
397,3395000,DEPARTAMENTO 1 REC EN VENTA CALLE  FRONTERA  COL ROMA NORTE ALC CUAUHTEMOC CP 06700,19.41843,-99.15581,1.0,1,58.0
403,3950000,Nuevo Hermoso y Bonito Departamento 1 Recamara Roma Norte,19.4166,-99.15471,1.0,1,
404,5950000,Magnifico Departamento a Media Cuadra del Parque España,19.4168,-99.17082,2.0,3,138.0
405,13170500,Venta de PH en Roma Norte Cuauhtémoc,19.41538,-99.16197,2.0,2,
406,5800000,"Departamento en venta, Roma",19.41652,-99.16563,2.0,2,
407,2550000,DEPARTAMENTO 3 RECAMARAS EN VENTA,19.41139,-99.16559,1.0,3,
408,5600000,DEPARTAMENTO EN VENTA VALLADOLID ROMA NORTE!!,19.4202,-99.16837,2.0,3,
409,6620120,VENTA DE DEPARTAMENTOS ROMA NORTE ENTREGA INMEDIATA!!,19.41469,-99.16062,2.0,2,
410,6400000,"VENTA DE DEPARTAMENTO EN QUERETARO, ROMA NORTE, ENTREGA 2022",19.4142,-99.16228,2.0,2,
411,5200000,VENTA DEPARTAMENTO EN ROMA NORTE,19.423,-99.16146,2.0,2,
412,6732700,Últimos Deptos en Preventa en Roma Norte,19.41969,-99.15603,2.0,2,
413,2680000,DEPARTAMENTO 1 RECAMARAS EN VENTA,19.42245,-99.15832,1.0,1,
414,6250000,"Penthouses en Venta en Tapachula, Roma Norte, Cuauhtémoc, CDMX.",19.41216,-99.16207,4.0,4,
420,9200000,Departamento en Roma Norte,19.41815,-99.1652,2.0,2,117.0
421,6200000,"Vendo Departamento en la Roma $6,200,000",19.42119,-99.17203,2.0,3,
425,2400000,DEPARTAMENTO 1 RECAMARAS EN VENTA,19.42256,-99.16381,1.0,1,
426,4900000,DEPARTAMENTO 3 RECAMARAS EN VENTA,19.41673,-99.15689,2.0,3,
428,6850000,Departamento en venta Querétaro Roma Norte,19.41815,-99.1652,1.0,1,112.0
429,8250000,Desarrollo con inmejorable ubicación muy cerca del parque Pushkin,19.42107,-99.15579,2.0,2,
430,3150000,Av. Cuauhtémoc Roma Norte,19.42308,-99.15411,1.0,1,43.0
432,9450000,Venta Departamento Duplex con Roofgarden propio  Roma Norte,19.41845,-99.15754,2.0,2,168.0
437,6000000,DEPARTAMENTO PENTHOUSE EN VENTA EN ROMA NORTE,19.4116,-99.16451,3.0,4,
438,4187000,Exclusivo departamento para familias chicas en Roma Norte Condesa Zona Rosa Cuahutemoc,19.42114,-99.1633,2.0,2,65.0
440,2800000,DEPARTAMENTO 2 RECAMARAS EN VENTA,19.42087,-99.17046,1.0,2,
441,5200000,Departamento en Venta en la Roma norte super ubicado,19.41952,-99.16254,2.0,2,
442,728999,Bonito Y Amplio Departamento en Roma Norte REMATE BANCARIO,19.41936,-99.17431,2.0,3,180.0
443,9590000,Penthouse en la Colonia Roma 204 mts,19.41565,-99.16493,2.0,2,
446,5800000,Departamento exterior en el corazón de la Roma Norte,19.41592,-99.16559,2.0,2,
447,9350000,"Pent-House  en Preventa, Calle Guanajuato, Col. Roma Norte",19.41682,-99.15964,2.0,2,
448,10050000,PH EN VENTA EN ROMA NORTE,19.41682,-99.15964,2.0,2,
450,9550000,"Departamento Calle Zacatecas, Col. Roma Norte",19.41584,-99.15967,2.0,2,
